trip_uid,stop_id,track,arrival_time,departure_time,last_observed,marked_past
1755057600_7..S,701S,1,,1755072000,1755072074,1755072080
1755057600_7..S,702S,1,1755072130,1755072150,1755072230,1755072233
1755057600_7..S,705S,1,1755072306,1755072326,1755072326,1755072329
1755057600_7..S,706S,1,1755072382,1755072402,1755072404,1755072410
1755057600_7..S,707S,1,1755072457,1755072477,1755072488,1755072491
1755057600_7..S,708S,1,1755072536,1755072556,1755072566,1755072569
1755057600_7..S,709S,1,1755072613,1755072633,1755072641,1755072644
1755057600_7..S,710S,1,1755072606,1755072626,1755072755,1755072758
1755057600_7..S,712S,M,1755072816,1755072836,1755072885,1755072890
1755057600_7..S,714S,M,1755072994,1755073014,1755073016,1755073020
1755057600_7..S,715S,M,1755073050,1755073070,1755073085,1755073088
1755057600_7..S,716S,M,1755073130,1755073150,1755073166,1755073170
1755057600_7..S,718S,1,1755073220,1755073240,1755073290,1755073295
1755057600_7..S,719S,1,1755073378,1755073398,1755073478,1755073481
1755057600_7..S,720S,2,1755073528,1755073548,1755073643,1755073646
1755057600_7..S,721S,2,1755073675,1755073695,1755073740,1755073745
1755057600_7..S,723S,1,1755073982,1755074002,1755074025,1755074030
1755057600_7..S,724S,1,1755074122,1755074142,1755074130,1755074135
1755057600_7..S,725S,1,1755074223,1755074243,1755074258,1755074261
1755057600_7..S,726S,2,1755074390,,1755074456,1755074460
1755057600_GS.N01R,901N,4,,1755072000,1755072020,1755072023
1755057600_GS.N01R,902N,4,1755072073,,1755072095,1755072098
1755057780_2..N08X082,142N,1,,1755072180,1755072179,1755072185
1755057780_2..N08X082,139N,4,1755072269,1755072269,1755072275,1755072278
1755057780_2..N08X082,138N,4,1755072332,1755072332,1755072335,1755072338
1755057780_2..N08X082,137N,4,1755072394,1755072394,1755072401,1755072404
1755057780_2..N08X082,136N,4,1755072461,1755072461,1755072464,1755072470
1755057780_2..N08X082,135N,4,1755072519,1755072519,1755072524,1755072530
1755057780_2..N08X082,134N,4,1755072592,1755072592,1755072599,1755072605
1755057780_2..N08X082,133N,4,1755072665,1755072665,1755072671,1755072674
1755057780_2..N08X082,132N,4,1755072734,1755072734,1755072740,1755072743
1755057780_2..N08X082,131N,4,1755072793,1755072793,1755072800,1755072803
1755057780_2..N08X082,130N,4,1755072851,1755072851,1755072855,1755072860
1755057780_2..N08X082,129N,4,1755072910,1755072910,1755072915,1755072920
1755057780_2..N08X082,128N,4,1755072974,1755072974,1755072986,1755072990
1755057780_2..N08X082,127N,4,1755073053,1755073053,1755073073,1755073076
1755057780_2..N08X082,126N,4,1755073169,1755073169,1755073175,1755073178
1755057780_2..N08X082,125N,4,1755073255,1755073255,1755073260,1755073265
1755057780_2..N08X082,124N,4,1755073325,1755073325,1755073331,1755073335
1755057780_2..N08X082,123N,4,1755073445,1755073445,1755073470,1755073475
1755057780_2..N08X082,122N,4,1755073542,1755073542,1755073553,1755073556
1755057780_2..N08X082,121N,4,1755073618,1755073618,1755073631,1755073635
1755057780_2..N08X082,120N,4,1755073703,1755073703,1755073710,1755073715
1755057780_2..N08X082,227N,3,1755073927,1755073927,1755073940,1755073943
1755057780_2..N08X082,226N,3,1755073992,1755073992,1755074003,1755074006
1755057780_2..N08X082,225N,3,1755074078,1755074078,1755074093,1755074096
1755057780_2..N08X082,224N,3,1755074176,1755074176,1755074186,1755074190
1755057780_2..N08X082,222N,3,1755074355,1755074355,1755074366,1755074370
1755057780_2..N08X082,221N,3,1755074448,1755074448,1755074456,1755074460
1755057780_2..N08X082,220N,3,1755074552,1755074552,1755074561,1755074565
1755057780_2..N08X082,219N,3,1755074632,1755074632,1755074640,1755074645
1755057780_2..N08X082,218N,3,1755074698,1755074698,1755074705,1755074708
1755057780_2..N08X082,217N,3,1755074755,1755074755,1755074768,1755074771
1755057780_2..N08X082,216N,3,1755074848,1755074848,1755074855,1755074858
1755057780_2..N08X082,215N,3,1755074943,1755074943,1755074951,1755074955
1755057780_2..N08X082,214N,3,1755075036,1755075036,1755075053,1755075056
1755057780_2..N08X082,213N,3,1755075157,1755075157,1755075185,1755075188
1755057780_2..N08X082,212N,3,1755075291,1755075291,1755075300,1755075303
1755057780_2..N08X082,211N,3,1755075390,1755075390,1755075396,1755075399
1755057780_2..N08X082,210N,3,1755075490,1755075490,1755075498,1755075501
1755057780_2..N08X082,209N,3,1755075567,1755075567,1755075573,1755075576
1755057780_2..N08X082,208N,3,1755075649,1755075649,1755075660,1755075663
1755057780_2..N08X082,207N,3,1755075736,1755075736,1755075744,1755075750
1755057780_2..N08X082,206N,3,1755075811,1755075811,1755075819,1755075825
1755057780_2..N08X082,205N,3,1755075889,1755075889,1755075894,1755075900
1755057780_2..N08X082,204N,3,1755075945,1755076275,1755075993,1755075996
1755057780_2..N08X082,201N,2,1755076070,,1755076143,1755076146
1755057810_GS.S01R,902S,4,,1755072210,1755072206,1755072209
