trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1757995200_7..S,024000_7..S,7,1,1757995200,07 0400 MST/QBP,1758011068,1758011071,938,0,0
1757995200_GS.N01R,024000_GS.N01R,GS,0,1757995200,0S 0400  GCS/TSS,1758009679,1758009685,529,0,0
1757995320_5..S32R,024200_5..S32R,5,1,1757995320,05 0402  DYR/180,1758010393,1758010396,719,0,0
1757995380_5..N32R,024300_5..N32R,5,0,1757995380,05 0403  180/DYR,1758010513,1758010516,751,0,0
1757995410_GS.S01R,024350_GS.S01R,GS,1,1757995410,0S 0403+ TSS/GCS,1758009865,1758009868,578,0,0
1757995470_3..S88R,024450_3..S88R,3,1,1757995470,03 0404+ 148/34S,1758011374,1758011380,903,0,0
1757995530_1..S03R,024550_1..S03R,1,1,1757995530,01 0405+ 242/SFT,1758013339,1758013345,1438,0,0
1757995530_3..N90R,024550_3..N90R,3,0,1757995530,03 0405+ 34S/148,1758011344,1758011350,895,0,0
1757995620_4..N13R,024700_4..N13R,4,0,1757995620,04 0407  NLT/WDL,1758015523,1758015526,2008,0,0
1757995740_2..S08R,024900_2..S08R,2,1,1757995740,02 0409  241/FLA,1758016948,1758016951,2388,0,0
1757995770_4..S13R,024950_4..S13R,4,1,1757995770,04 0409+ WDL/NLT,1758015535,1758015538,1932,0,0
1757995800_GS.N01R,025000_GS.N01R,GS,0,1757995800,0S 0410  GCS/TSS,1758010261,1758010264,524,0,0
1757995830_7..N,025050_7..N,7,0,1757995830,07 0410+ QBP/MST,1758011740,1758011743,788,0,0
1757995950_6..N01R,025250_6..N01R,6,0,1757995950,06 0412+ BBR/PEL,1758014263,1758014266,1591,0,0
1757996010_2..N08R,025350_2..N08R,2,0,1757996010,02 0413+ FLA/241,1758010399,1758010411,562,0,0
1757996010_GS.S01R,025350_GS.S01R,GS,1,1757996010,0S 0413+ TSS/GCS,1758010489,1758010495,585,0,0
1757996070_1..N03R,025450_1..N03R,1,0,1757996070,01 0414+ SFT/242,1758014029,1758014035,1450,0,0
1757996100_6..S01X014,025500_6..S01X014,6,1,1757996100,06 0415  PEL/BBR,1758014095,1758014098,1467,0,0
1757996400_7..S,026000_7..S,7,1,1757996400,07 0420 MST/QBP,1758012076,1758012079,873,0,0
